true_class,pred_class,true_binary,pred_binary,mean_risk_prob,correct
Low,Low,0,1,0.197,True
Low,Low,0,1,0.059,True
Low,Low,0,1,0.093,True
Low,Low,0,1,0.051,True
Low,Low,0,1,0.122,True
Low,Low,0,1,0.01,True
Low,Low,0,1,0.107,True
Low,Low,0,1,0.464,True
Low,Low,0,1,0.068,True
Low,Low,0,1,0.001,True
Low,Low,0,1,0.005,True
Low,Low,0,1,0.003,True
High,Low,1,1,0.221,False
High,High,1,1,0.999,True
High,High,1,1,0.541,True
High,High,1,1,0.604,True
High,High,1,1,1.0,True
High,Low,1,1,0.399,False
High,Low,1,1,0.479,False
High,High,1,1,1.0,True
High,High,1,1,1.0,True
High,High,1,1,0.529,True
High,Low,1,1,0.371,False
High,High,1,1,1.0,True
Low,Low,0,1,0.121,True
Low,Low,0,1,0.192,True
Low,Low,0,1,0.069,True
Low,Low,0,1,0.222,True
Low,Low,0,1,0.102,True
Low,Low,0,1,0.052,True
Low,Low,0,1,0.127,True
Low,Low,0,1,0.117,True
Low,Low,0,1,0.259,True
Low,Low,0,1,0.142,True
Low,Low,0,1,0.017,True
Low,Low,0,1,0.348,True
High,High,1,1,0.667,True
High,Low,1,1,0.215,False
High,High,1,1,1.0,True
High,Low,1,1,0.375,False
High,Low,1,1,0.377,False
High,Low,1,1,0.394,False
High,High,1,1,0.597,True
High,High,1,1,0.525,True
High,Low,1,1,0.396,False
High,High,1,1,0.877,True
High,Low,1,1,0.367,False
High,High,1,1,1.0,True
Low,Low,0,1,0.031,True
Low,Low,0,1,0.155,True
Low,Low,0,1,0.072,True
Low,Low,0,1,0.006,True
Low,Low,0,1,0.066,True
Low,Low,0,1,0.112,True
Low,Low,0,1,0.0,True
Low,Low,0,1,0.229,True
Low,Low,0,1,0.013,True
Low,Low,0,1,0.163,True
High,Low,1,1,0.245,False
High,High,1,1,1.0,True
High,High,1,1,1.0,True
High,Low,1,1,0.174,False
High,High,1,1,1.0,True
High,High,1,1,0.866,True
High,High,1,1,0.991,True
High,High,1,1,0.743,True
High,High,1,1,0.575,True
High,Low,1,1,0.17,False
